grower_label,site_key,location_id,location_name,iso_year,iso_week,week_start,risk_score,risk_score_raw,clim_score,risk_vs_clim,risk_band,count_dinophysis,y_dinophysis,y_dinophysis_nowcast,dsp_closure_risk,sst,ssta,status,role,split,latitude,longitude
Rosmuc,rosmuc,174,Rosmuc,2024,12,2024-03-18,0.005025125628140704,0.008208274891150046,0.008032128514056224,-0.0030070028859155206,Lower,0.0,0,0,0.2665274878218511,,,active_oisst_gap,nmp_core,test,53.33194,-9.59861
Killary Outer,killary_outer,175,Killary Harbour Outer,2024,12,2024-03-18,0.0005931198102016608,0.001914206431828066,0.008032128514056224,-0.007439008703854564,Lower,0.0,0,0,0.052845528455284556,9.52,0.6047445255474457,active,nmp_core,test,53.61472,-9.83306
Mannin,mannin,177,Mannin,2024,12,2024-03-18,0.0005931198102016608,0.002284806814144518,0.008032128514056224,-0.007439008703854564,Lower,0.0,0,0,,9.63,0.534087591240878,active,nmp_core,test,53.45944,-10.07
Gubbaros (nearby),gubbaros_nearby,179,Gubbaros,2024,12,2024-03-18,0.0005931198102016608,0.0022107928241170537,0.008032128514056224,-0.007439008703854564,Lower,0.0,0,0,,9.54,0.4953649635036488,active,nmp_nearby,test,53.50917,-10.07139
Clifden,clifden,650,Cliffden Outer,2024,12,2024-03-18,0.0005931198102016608,0.0019498591997885555,0.008032128514056224,-0.007439008703854564,Lower,0.0,0,0,0.2665274878218511,9.63,0.534087591240878,active,nmp_core,test,53.4915,-10.13339
Ballynakill,ballynakill,163,Ballynakill,2024,13,2024-03-25,0.0,0.0008688112528749924,0.0019342359767891683,-0.0019342359767891683,Lower,0.0,0,0,,,,active,nmp_core,test,53.57167,-9.99722
Killary Inner,killary_inner,171,Killary Harbour Inner,2024,13,2024-03-25,0.0,0.0010257675311975954,0.0019342359767891683,-0.0019342359767891683,Lower,0.0,0,0,0.052845528455284556,,,active,nmp_core,test,53.6,-9.75528
Killary Middle,killary_middle,172,Killary Harbour Middle,2024,13,2024-03-25,0.0,0.0011423896163471532,0.0019342359767891683,-0.0019342359767891683,Lower,0.0,0,0,0.0703125,,,active,nmp_core,test,53.60389,-9.80278
Rosmuc,rosmuc,174,Rosmuc,2024,13,2024-03-25,0.0005931198102016608,0.003122383146953278,0.0019342359767891683,-0.0013411161665875075,Lower,0.0,0,0,0.4405797101449275,,,active_oisst_gap,nmp_core,test,53.33194,-9.59861
Killary Outer,killary_outer,175,Killary Harbour Outer,2024,13,2024-03-25,0.0005931198102016608,0.0014610664095143092,0.0019342359767891683,-0.0013411161665875075,Lower,0.0,0,0,0.09352517985611511,,,active,nmp_core,test,53.61472,-9.83306
