year,month,meant,maxtp,mintp,mnmax,mnmin,rain,gmin,wdsp,maxgt,sun,station_no,station_name
1949,4,9.9,15.3,1.7,12.4,7.5,76.3,-2.3,13.6,58.0,110.5,2275,Valentia Observatory
1949,5,10.6,19.4,3.4,14.3,6.9,91.0,0.6,9.9,50.0,195.2,2275,Valentia Observatory
1949,6,14.1,23.4,5.3,18.3,10.0,75.3,3.1,7.7,41.0,247.8,2275,Valentia Observatory
1949,7,16.1,26.1,8.4,19.2,13.0,60.1,4.3,7.9,35.0,156.3,2275,Valentia Observatory
1949,8,16.0,23.9,9.1,19.2,12.7,124.8,4.4,8.2,44.0,158.3,2275,Valentia Observatory
1949,9,15.8,22.9,8.0,19.2,12.4,84.1,5.4,8.2,44.0,148.5,2275,Valentia Observatory
1949,10,12.7,20.2,2.2,15.4,10.0,253.1,0.0,11.6,60.0,70.2,2275,Valentia Observatory
1949,11,9.1,13.9,2.3,11.6,6.7,210.5,-0.8,12.2,54.0,67.2,2275,Valentia Observatory
1949,12,8.4,12.4,0.3,10.6,6.2,118.0,-1.2,14.8,58.0,30.5,2275,Valentia Observatory
1950,1,7.9,13.8,-1.2,10.1,5.7,135.3,-4.2,12.2,56.0,43.3,2275,Valentia Observatory
1950,2,7.1,12.7,-1.6,10.0,4.2,229.0,-4.8,14.3,64.0,55.2,2275,Valentia Observatory
1950,3,9.3,18.0,0.8,12.5,6.2,65.8,-1.1,9.6,45.0,88.1,2275,Valentia Observatory
1950,4,8.7,15.1,0.2,11.5,6.0,77.6,-2.2,13.8,58.0,125.6,2275,Valentia Observatory
1950,5,12.5,24.7,1.9,16.4,8.6,44.8,-1.1,8.2,40.0,227.3,2275,Valentia Observatory
1950,6,14.4,25.6,6.2,17.6,11.2,64.9,4.4,9.0,33.0,158.2,2275,Valentia Observatory
1950,7,15.1,21.8,7.2,17.9,12.2,232.6,4.6,9.7,40.0,179.1,2275,Valentia Observatory
1950,8,14.4,18.7,6.4,17.3,11.4,156.9,4.7,10.2,46.0,173.9,2275,Valentia Observatory
1950,9,12.7,17.2,7.2,15.0,10.4,200.6,5.1,11.8,65.0,70.1,2275,Valentia Observatory
1950,10,11.0,15.7,3.2,13.5,8.4,123.9,-0.2,10.9,50.0,90.2,2275,Valentia Observatory
1950,11,7.7,13.1,-0.6,10.4,5.0,161.0,-3.3,11.1,55.0,71.4,2275,Valentia Observatory
1950,12,5.0,11.4,-2.9,7.6,2.4,139.7,-4.8,9.1,69.0,52.2,2275,Valentia Observatory
1951,1,6.4,11.9,0.5,8.9,3.8,176.6,-1.9,9.9,47.0,41.0,2275,Valentia Observatory
1951,2,5.1,12.7,-2.2,8.0,2.2,144.8,-4.3,10.9,58.0,89.7,2275,Valentia Observatory
1951,3,6.3,13.5,-3.3,9.1,3.6,82.9,-5.1,10.3,48.0,109.9,2275,Valentia Observatory
1951,4,8.3,17.8,0.0,11.4,5.2,74.9,-3.8,11.0,52.0,171.4,2275,Valentia Observatory
1951,5,10.5,19.3,0.2,14.4,6.7,78.9,-2.6,8.8,44.0,244.6,2275,Valentia Observatory
1951,6,13.8,23.8,4.3,17.1,10.4,52.2,2.8,7.3,40.0,194.1,2275,Valentia Observatory
1951,7,15.3,23.3,6.2,18.5,12.1,51.8,3.9,6.4,34.0,187.7,2275,Valentia Observatory
1951,8,14.5,19.3,7.0,17.1,11.9,170.0,4.8,9.0,48.0,127.7,2275,Valentia Observatory
1951,9,13.6,19.7,7.1,16.3,10.9,197.1,4.6,9.3,57.0,92.3,2275,Valentia Observatory
1951,10,11.7,18.5,2.9,14.5,8.9,175.8,0.3,9.1,64.0,69.8,2275,Valentia Observatory
1951,11,9.5,14.3,0.2,12.1,7.0,157.1,-1.2,9.8,57.0,58.5,2275,Valentia Observatory
1951,12,8.1,12.6,0.2,10.5,5.6,234.6,-2.4,13.2,82.0,38.4,2275,Valentia Observatory
1952,1,5.9,11.8,-2.3,8.8,3.0,153.1,-4.4,12.1,58.0,42.5,2275,Valentia Observatory
1952,2,7.1,12.2,-1.1,9.4,4.7,26.4,-4.4,8.2,51.0,69.1,2275,Valentia Observatory
1952,3,8.8,14.8,0.6,11.5,6.2,94.9,-1.7,12.6,50.0,102.4,2275,Valentia Observatory
1952,4,9.3,16.4,0.0,12.5,6.0,93.7,-3.9,9.3,53.0,145.1,2275,Valentia Observatory
1952,5,12.1,21.5,3.0,15.8,8.5,41.1,0.9,7.7,43.0,206.8,2275,Valentia Observatory
1952,6,13.1,20.0,4.6,16.2,10.0,91.9,2.5,7.6,37.0,158.2,2275,Valentia Observatory
1952,7,15.7,23.8,7.2,18.4,13.1,17.1,3.4,6.5,28.0,142.6,2275,Valentia Observatory
1952,8,15.3,21.6,6.6,18.3,12.4,70.3,4.4,7.5,55.0,148.8,2275,Valentia Observatory
1952,9,12.2,18.3,2.1,15.5,8.8,51.9,-0.6,8.7,43.0,149.1,2275,Valentia Observatory
1952,10,11.3,16.2,1.8,14.2,8.3,177.0,-0.9,12.7,53.0,91.5,2275,Valentia Observatory
1952,11,8.0,14.2,-2.2,10.4,5.7,92.8,-5.3,10.3,59.0,57.9,2275,Valentia Observatory
1952,12,7.4,13.7,-0.4,9.7,5.1,155.0,-2.6,13.4,55.0,47.7,2275,Valentia Observatory
1953,1,7.2,11.9,-1.4,9.5,4.9,60.7,-3.7,9.0,52.0,45.3,2275,Valentia Observatory
1953,2,7.3,13.9,-2.1,9.7,4.9,87.9,-4.4,10.1,50.0,74.4,2275,Valentia Observatory
1953,3,7.4,17.9,-1.9,12.3,2.5,44.6,-3.3,6.2,38.0,165.7,2275,Valentia Observatory
1953,4,8.1,21.3,-1.8,12.0,4.3,88.9,-3.4,7.7,48.0,193.8,2275,Valentia Observatory
1953,5,12.2,21.1,2.4,15.5,9.0,94.7,-0.7,9.5,45.0,153.7,2275,Valentia Observatory
1953,6,13.2,25.8,5.2,16.7,9.6,58.0,2.3,8.4,38.0,183.1,2275,Valentia Observatory
1953,7,14.7,20.5,9.2,17.4,12.1,190.8,6.8,9.7,40.0,165.7,2275,Valentia Observatory
1953,8,15.0,20.6,8.6,17.9,12.0,100.1,6.2,8.3,41.0,111.2,2275,Valentia Observatory
1953,9,14.1,25.1,7.1,16.8,11.3,143.9,0.6,9.3,57.0,92.9,2275,Valentia Observatory
1953,10,11.2,17.7,3.8,14.3,8.1,131.2,0.1,8.5,51.0,87.4,2275,Valentia Observatory
1953,11,9.7,13.9,-0.1,12.1,7.4,157.8,-2.2,11.0,68.0,44.8,2275,Valentia Observatory
1953,12,9.6,13.7,0.1,11.7,7.6,120.9,-1.2,10.1,48.0,23.6,2275,Valentia Observatory
1954,1,6.6,12.8,-2.6,9.1,4.1,142.5,-3.7,10.7,54.0,50.2,2275,Valentia Observatory
1954,2,6.6,12.9,-2.1,9.2,3.9,171.2,-4.4,10.9,65.0,60.5,2275,Valentia Observatory
1954,3,8.0,15.4,-2.4,10.7,5.3,182.9,-3.5,12.9,54.0,78.8,2275,Valentia Observatory
1954,4,9.7,16.6,1.2,13.1,6.3,43.9,-0.9,9.3,48.0,155.2,2275,Valentia Observatory
1954,5,11.2,17.8,2.8,14.4,7.9,84.6,0.4,11.6,53.0,224.4,2275,Valentia Observatory
1954,6,12.8,18.5,4.9,15.6,10.0,71.0,3.6,9.4,47.0,144.4,2275,Valentia Observatory
1954,7,13.6,18.8,8.0,15.8,11.3,106.7,5.3,10.5,43.0,104.6,2275,Valentia Observatory
1954,8,13.9,18.7,7.6,16.8,11.1,89.0,5.7,9.2,44.0,176.9,2275,Valentia Observatory
1954,9,12.8,17.9,3.1,15.6,9.9,136.6,1.2,10.6,44.0,136.7,2275,Valentia Observatory
1954,10,12.6,18.9,3.0,14.8,10.4,197.8,0.2,11.6,50.0,60.0,2275,Valentia Observatory
1954,11,8.6,14.7,0.0,11.4,5.7,158.2,-2.6,10.8,68.0,59.2,2275,Valentia Observatory
1954,12,9.0,14.1,0.6,10.8,7.1,164.3,-0.7,13.6,59.0,25.5,2275,Valentia Observatory
1955,1,5.9,12.2,-3.3,8.6,3.2,142.7,-4.4,12.2,59.0,42.0,2275,Valentia Observatory
1955,2,4.1,12.8,-3.7,7.1,1.0,134.7,-5.4,10.4,47.0,103.2,2275,Valentia Observatory
1955,3,5.5,12.8,-1.6,9.7,1.3,59.2,-3.6,7.9,45.0,221.3,2275,Valentia Observatory
1955,4,10.5,18.6,1.9,14.2,6.8,74.1,-0.7,9.7,57.0,165.5,2275,Valentia Observatory
1955,5,10.4,20.0,1.7,13.5,7.3,136.7,-0.1,11.9,57.0,202.8,2275,Valentia Observatory
1955,6,13.6,22.4,6.6,16.3,10.9,95.0,5.4,9.4,62.0,108.2,2275,Valentia Observatory
1955,7,16.2,26.0,7.6,20.5,11.9,9.1,4.6,5.7,32.0,308.2,2275,Valentia Observatory
1955,8,17.7,29.8,8.2,21.6,13.7,30.2,6.3,7.0,45.0,156.6,2275,Valentia Observatory
1955,9,14.9,21.8,9.9,17.5,12.3,111.5,5.4,11.7,54.0,103.0,2275,Valentia Observatory
1955,10,10.4,18.9,-0.3,13.8,7.1,71.5,-2.3,9.2,44.0,90.5,2275,Valentia Observatory
1955,11,9.5,16.8,0.1,12.4,6.6,121.0,-2.2,9.1,60.0,61.3,2275,Valentia Observatory
1955,12,9.1,13.8,-1.2,11.6,6.6,134.8,-2.2,13.0,51.0,33.2,2275,Valentia Observatory
1956,1,6.6,12.2,-1.6,9.5,3.8,169.7,-2.7,9.3,46.0,44.1,2275,Valentia Observatory
1956,2,4.4,13.1,-5.1,7.8,1.0,49.5,-6.7,8.9,46.0,120.2,2275,Valentia Observatory
1956,3,9.3,15.7,1.7,11.7,6.8,161.9,-0.9,13.1,54.0,69.4,2275,Valentia Observatory
1956,4,8.9,15.6,0.2,12.7,5.2,22.0,-2.0,8.9,40.0,154.7,2275,Valentia Observatory
1956,5,11.5,19.5,2.8,14.8,8.2,66.4,0.2,10.3,40.0,195.2,2275,Valentia Observatory
1956,6,12.9,23.6,4.9,15.7,10.1,66.7,3.5,9.2,46.0,173.1,2275,Valentia Observatory
1956,7,14.5,20.8,8.2,17.1,11.8,112.0,6.7,8.3,44.0,138.0,2275,Valentia Observatory
1956,8,13.5,19.0,5.9,16.4,10.7,154.9,5.1,8.4,43.0,151.7,2275,Valentia Observatory
1956,9,14.2,20.8,6.8,16.7,11.7,80.0,3.9,9.1,52.0,68.2,2275,Valentia Observatory
1956,10,10.8,19.0,1.4,14.1,7.5,90.1,-1.4,9.0,55.0,98.0,2275,Valentia Observatory
1956,11,8.9,13.9,-0.6,11.2,6.6,110.7,-2.6,10.1,64.0,51.8,2275,Valentia Observatory
1956,12,8.6,13.5,2.4,10.9,6.2,158.0,-0.6,12.9,62.0,31.6,2275,Valentia Observatory
1957,1,7.3,13.4,-2.1,10.1,4.4,175.8,-3.6,12.6,71.0,57.2,2275,Valentia Observatory
1957,2,6.9,12.6,-2.2,10.0,3.8,145.8,-4.8,11.4,77.0,85.5,2275,Valentia Observatory
1957,3,10.5,15.3,2.7,12.8,8.2,197.1,1.3,11.0,51.0,58.3,2275,Valentia Observatory
1957,4,9.4,18.9,1.1,13.5,5.4,69.2,0.1,7.6,36.0,203.0,2275,Valentia Observatory
1957,5,11.5,20.7,4.2,15.2,7.8,71.0,3.3,7.8,56.0,243.5,2275,Valentia Observatory
1957,6,14.0,26.2,3.8,18.5,9.4,47.7,1.7,7.4,39.0,249.1,2275,Valentia Observatory
1957,7,15.3,23.6,8.7,18.1,12.5,142.0,7.9,9.3,43.0,110.1,2275,Valentia Observatory
1957,8,15.2,25.6,6.0,18.1,12.2,84.1,5.1,8.4,49.0,122.3,2275,Valentia Observatory
1957,9,13.6,18.3,6.2,15.9,11.3,165.7,4.3,10.1,49.0,72.3,2275,Valentia Observatory
1957,10,11.8,17.6,0.6,14.2,9.3,144.4,0.3,9.8,55.0,72.6,2275,Valentia Observatory
1957,11,8.3,13.9,-1.3,11.0,5.7,66.0,-3.3,8.9,56.0,68.1,2275,Valentia Observatory
1957,12,7.8,13.3,-3.4,10.3,5.4,128.1,-4.6,11.1,59.0,47.7,2275,Valentia Observatory
1958,1,6.9,13.4,-7.2,9.5,4.3,214.8,-5.2,11.1,50.0,46.8,2275,Valentia Observatory
