Sin,AreaName,SiteName,latitude,longitude,source,confidence,detail
AB-151-039-13,Loch Fyne: Otter Ferry,Balliemore,55.81583285,-5.29856786,sepa_swpa,medium,match=fuzzy_unique;sepa=Loch Fyne
AB-154-043-15,Loch Fyne: Stonefield,North Bay,55.81583285,-5.29856786,sepa_swpa,medium,match=fuzzy_unique;sepa=Loch Fyne
SL-159-286-13,Loch Harport: Inner,Carbost,57.32345301,-6.37166313,sepa_swpa,medium,match=fuzzy_unique;sepa=Loch Harport
RC-625-1233-13,Loch Kanaird,Ardmair,57.94324780663281,-5.182962719450031,sepa_swpa,high,match=area_exact;sepa=Loch Kanaird
LH-168-113-08,Loch Leurbost,Creag an Rainich,58.13253939,-6.45730506,sepa_swpa,high,match=area_exact;sepa=Loch Leurbost
LH-168-114-08,Loch Leurbost,Loch Leurbost,58.13253939,-6.45730506,sepa_swpa,high,match=area_exact;sepa=Loch Leurbost
LH-168-732-08,Loch Leurbost,Eilean Mhiabhaig,58.13253939,-6.45730506,sepa_swpa,high,match=area_exact;sepa=Loch Leurbost
LH-339-795-13,Loch Leurbost: Crosbost,Site 1 Crosbost,58.13253939,-6.45730506,sepa_swpa,medium,match=fuzzy_unique;sepa=Loch Leurbost
AB-178-051-08,Loch Melfort,Loch Melfort,56.25320274,-5.5359046,sepa_swpa,high,match=area_exact;sepa=Loch Melfort
LH-185-120-08,Loch Roag: Barraglom,Loch Barraglom,58.19503091,-6.90804094,sepa_swpa,medium,match=fuzzy_unique;sepa=Loch Roag
LH-381-772-08,Loch Roag: Ceabhagh,Keava,58.19503091,-6.90804094,sepa_swpa,medium,match=fuzzy_unique;sepa=Loch Roag
LH-186-121-08,Loch Roag: Drovinish,Loch Drovinish,58.19503091,-6.90804094,sepa_swpa,medium,match=fuzzy_unique;sepa=Loch Roag
LH-344-697-08,Loch Roag: Eilean Chearstaigh,Eilean Scarastaigh,58.19503091,-6.90804094,sepa_swpa,medium,match=fuzzy_unique;sepa=Loch Roag
LH-344-791-08,Loch Roag: Eilean Chearstaigh,Buckle Point,58.19503091,-6.90804094,sepa_swpa,medium,match=fuzzy_unique;sepa=Loch Roag
LH-187-122-08,Loch Roag: Linngeam,Linngeam,58.19503091,-6.90804094,sepa_swpa,medium,match=fuzzy_unique;sepa=Loch Roag
LH-187-698-08,Loch Roag: Linngeam,Hacklete,58.19503091,-6.90804094,sepa_swpa,medium,match=fuzzy_unique;sepa=Loch Roag
LH-187-699-08,Loch Roag: Linngeam,Cliatasay,58.19503091,-6.90804094,sepa_swpa,medium,match=fuzzy_unique;sepa=Loch Roag
LH-189-124-08,Loch Roag: Torranish,Loch Torranish,58.19503091,-6.90804094,sepa_swpa,medium,match=fuzzy_unique;sepa=Loch Roag
DG-191-175-12,Loch Ryan,Loch Ryan,54.95844993,-5.04221698,sepa_swpa,high,match=area_exact;sepa=Loch Ryan
AB-314-054-08,Loch Scridain East,Aird Fada,56.35512646,-6.10992511,sepa_swpa,medium,match=fuzzy_unique;sepa=Loch Scridain
LH-193-126-08,Loch Seaforth,Loch Seaforth,57.97027505,-6.71647042,sepa_swpa,high,match=area_exact;sepa=Loch Seaforth
