year,month,precip_mm
1922,9,88.5
1922,10,39.1
1922,11,50.6
1922,12,111.0
1923,1,82.9
1923,2,174.1
1923,3,70.5
1923,4,97.2
1923,5,46.2
1923,6,29.1
1923,7,79.3
1923,8,156.8
1923,9,108.4
1923,10,123.1
1923,11,97.6
1923,12,98.9
1924,1,152.6
1924,2,48.3
1924,3,36.1
1924,4,86.5
1924,5,104.3
1924,6,98.3
1924,7,107.8
1924,8,118.7
1924,9,164.0
1924,10,100.4
1924,11,111.1
1924,12,165.7
1925,1,118.0
1925,2,123.0
1925,3,27.0
1925,4,106.5
1925,5,132.2
1925,6,15.6
1925,7,89.3
1925,8,72.8
1925,9,76.4
1925,10,105.5
1925,11,73.1
1925,12,85.7
1926,1,183.1
1926,2,90.9
1926,3,42.4
1926,4,63.3
1926,5,84.9
1926,6,76.3
1926,7,79.8
1926,8,88.3
1926,9,59.1
1926,10,92.0
1926,11,145.4
1926,12,31.1
1927,1,127.3
1927,2,72.7
1927,3,109.5
1927,4,48.6
1927,5,47.7
1927,6,93.3
1927,7,97.4
1927,8,138.8
1927,9,115.0
1927,10,87.5
1927,11,101.7
1927,12,105.1
1928,1,155.0
1928,2,101.2
1928,3,131.9
1928,4,68.1
1928,5,45.5
1928,6,144.8
1928,7,50.6
1928,8,138.9
1928,9,67.5
1928,10,172.5
1928,11,146.1
1928,12,115.0
1929,1,56.4
1929,2,135.2
1929,3,20.0
1929,4,34.2
1929,5,76.3
1929,6,57.5
1929,7,100.1
1929,8,117.3
1929,9,32.1
1929,10,125.9
1929,11,160.9
1929,12,219.1
1930,1,155.5
1930,2,28.8
1930,3,125.3
1930,4,53.1
1930,5,53.3
1930,6,59.4
1930,7,89.4
1930,8,158.7
1930,9,115.6
1930,10,160.5
1930,11,121.2
1930,12,117.1
1931,1,83.4
1931,2,82.9
1931,3,95.2
1931,4,78.3
1931,5,117.7
1931,6,116.8
1931,7,103.6
1931,8,86.2
1931,9,77.7
1931,10,55.6
1931,11,197.5
1931,12,77.1
1932,1,122.0
1932,2,7.3
1932,3,62.1
1932,4,86.3
1932,5,89.7
1932,6,40.8
1932,7,119.5
1932,8,62.2
1932,9,84.1
1932,10,111.4
1932,11,61.7
1932,12,167.0
1933,1,93.3
1933,2,87.8
1933,3,84.5
1933,4,44.7
1933,5,84.3
1933,6,66.2
1933,7,76.3
1933,8,52.1
1933,9,33.9
1933,10,87.9
1933,11,50.5
1933,12,59.6
1934,1,108.1
1934,2,8.3
1934,3,94.9
1934,4,80.6
1934,5,69.1
1934,6,51.3
1934,7,54.4
1934,8,125.9
1934,9,160.9
1934,10,118.3
1934,11,43.8
1934,12,188.4
1935,1,41.4
1935,2,103.1
1935,3,45.5
1935,4,84.1
1935,5,33.2
1935,6,133.9
1935,7,27.4
1935,8,71.5
1935,9,155.6
1935,10,114.4
1935,11,128.1
1935,12,86.5
1936,1,144.0
1936,2,83.2
1936,3,73.8
1936,4,49.0
1936,5,38.6
1936,6,89.2
1936,7,169.5
1936,8,44.5
1936,9,106.4
1936,10,73.3
1936,11,110.2
1936,12,127.3
1937,1,174.9
1937,2,137.3
1937,3,94.3
1937,4,82.4
1937,5,55.5
1937,6,47.6
1937,7,117.1
1937,8,70.8
1937,9,102.9
1937,10,68.6
1937,11,69.2
1937,12,77.2
1938,1,131.4
1938,2,58.7
1938,3,47.5
1938,4,5.3
1938,5,99.6
1938,6,102.2
1938,7,134.1
1938,8,89.4
1938,9,75.9
1938,10,176.0
1938,11,159.3
1938,12,124.0
1939,1,130.0
1939,2,96.9
1939,3,79.7
1939,4,48.2
1939,5,30.4
1939,6,59.8
1939,7,119.1
1939,8,50.4
1939,9,59.1
1939,10,86.0
1939,11,193.5
1939,12,84.0
1940,1,106.2
1940,2,127.5
1940,3,95.0
1940,4,97.9
1940,5,47.8
1940,6,35.5
1940,7,95.2
1940,8,18.2
1940,9,65.3
1940,10,177.0
1940,11,139.4
1940,12,114.6
1941,1,106.3
1941,2,107.6
1941,3,86.8
1941,4,45.4
1941,5,68.9
1941,6,25.2
1941,7,75.4
1941,8,93.6
1941,9,32.0
1941,10,92.3
1941,11,167.5
1941,12,62.4
1942,1,150.3
1942,2,39.2
1942,3,97.6
1942,4,62.5
1942,5,112.8
1942,6,13.1
1942,7,93.3
1942,8,124.7
1942,9,116.0
1942,10,66.1
1942,11,24.2
1942,12,140.1
1943,1,175.8
1943,2,55.2
1943,3,33.5
1943,4,54.9
1943,5,103.5
1943,6,80.3
1943,7,61.8
1943,8,119.4
1943,9,96.4
1943,10,125.7
1943,11,80.6
