year,month,nao,date
1988,10,-1.08,1988-10-01
1988,11,-0.34,1988-11-01
1988,12,0.61,1988-12-01
1989,1,1.17,1989-01-01
1989,2,2.0,1989-02-01
1989,3,1.85,1989-03-01
1989,4,0.28,1989-04-01
1989,5,1.38,1989-05-01
1989,6,-0.27,1989-06-01
1989,7,0.97,1989-07-01
1989,8,0.01,1989-08-01
1989,9,2.05,1989-09-01
1989,10,-0.03,1989-10-01
1989,11,0.16,1989-11-01
1989,12,-1.15,1989-12-01
1990,1,1.04,1990-01-01
1990,2,1.41,1990-02-01
1990,3,1.46,1990-03-01
1990,4,2.0,1990-04-01
1990,5,-1.53,1990-05-01
1990,6,-0.02,1990-06-01
1990,7,0.53,1990-07-01
1990,8,0.97,1990-08-01
1990,9,1.06,1990-09-01
1990,10,0.23,1990-10-01
1990,11,-0.24,1990-11-01
1990,12,0.22,1990-12-01
1991,1,0.86,1991-01-01
1991,2,1.04,1991-02-01
1991,3,-0.2,1991-03-01
1991,4,0.29,1991-04-01
1991,5,0.08,1991-05-01
1991,6,-0.82,1991-06-01
1991,7,-0.49,1991-07-01
1991,8,1.23,1991-08-01
1991,9,0.48,1991-09-01
1991,10,-0.19,1991-10-01
1991,11,0.48,1991-11-01
1991,12,0.46,1991-12-01
1992,1,-0.13,1992-01-01
1992,2,1.07,1992-02-01
1992,3,0.87,1992-03-01
1992,4,1.86,1992-04-01
1992,5,2.63,1992-05-01
1992,6,0.2,1992-06-01
1992,7,0.16,1992-07-01
1992,8,0.85,1992-08-01
1992,9,-0.44,1992-09-01
1992,10,-1.76,1992-10-01
1992,11,1.19,1992-11-01
1992,12,0.47,1992-12-01
1993,1,1.6,1993-01-01
1993,2,0.5,1993-02-01
1993,3,0.67,1993-03-01
1993,4,0.97,1993-04-01
1993,5,-0.78,1993-05-01
1993,6,-0.59,1993-06-01
1993,7,-3.18,1993-07-01
1993,8,0.12,1993-08-01
1993,9,-0.57,1993-09-01
1993,10,-0.71,1993-10-01
1993,11,2.56,1993-11-01
