year,month,ea,date
1994,4,0.05,1994-04-01
1994,5,0.79,1994-05-01
1994,6,0.74,1994-06-01
1994,7,0.97,1994-07-01
1994,8,0.75,1994-08-01
1994,9,-0.79,1994-09-01
1994,10,-0.9,1994-10-01
1994,11,0.76,1994-11-01
1994,12,0.97,1994-12-01
1995,1,0.09,1995-01-01
1995,2,1.03,1995-02-01
1995,3,-2.46,1995-03-01
1995,4,-1.71,1995-04-01
1995,5,0.06,1995-05-01
1995,6,-1.84,1995-06-01
1995,7,-0.8,1995-07-01
1995,8,-2.09,1995-08-01
1995,9,-0.37,1995-09-01
1995,10,0.53,1995-10-01
1995,11,-1.35,1995-11-01
1995,12,0.57,1995-12-01
1996,1,-0.53,1996-01-01
1996,2,-1.12,1996-02-01
1996,3,-0.65,1996-03-01
1996,4,-0.69,1996-04-01
1996,5,-0.38,1996-05-01
1996,6,-0.53,1996-06-01
1996,7,0.39,1996-07-01
1996,8,-0.08,1996-08-01
1996,9,-0.95,1996-09-01
1996,10,0.49,1996-10-01
1996,11,1.38,1996-11-01
1996,12,-1.52,1996-12-01
1997,1,-0.13,1997-01-01
1997,2,1.06,1997-02-01
1997,3,0.27,1997-03-01
1997,4,-1.91,1997-04-01
1997,5,0.61,1997-05-01
1997,6,-0.75,1997-06-01
1997,7,-0.41,1997-07-01
1997,8,0.18,1997-08-01
1997,9,-0.81,1997-09-01
1997,10,-1.5,1997-10-01
1997,11,0.92,1997-11-01
1997,12,1.74,1997-12-01
1998,1,0.14,1998-01-01
1998,2,1.33,1998-02-01
1998,3,0.49,1998-03-01
1998,4,2.39,1998-04-01
1998,5,-1.25,1998-05-01
1998,6,-0.03,1998-06-01
1998,7,1.04,1998-07-01
1998,8,1.31,1998-08-01
1998,9,0.17,1998-09-01
1998,10,0.71,1998-10-01
1998,11,0.11,1998-11-01
1998,12,0.67,1998-12-01
1999,1,-0.27,1999-01-01
1999,2,-1.64,1999-02-01
1999,3,-2.01,1999-03-01
1999,4,1.01,1999-04-01
1999,5,0.41,1999-05-01
1999,6,0.13,1999-06-01
1999,7,0.48,1999-07-01
1999,8,-0.27,1999-08-01
1999,9,1.07,1999-09-01
1999,10,-0.16,1999-10-01
1999,11,-1.02,1999-11-01
1999,12,0.46,1999-12-01
2000,1,-1.97,2000-01-01
2000,2,0.41,2000-02-01
2000,3,-0.68,2000-03-01
2000,4,0.33,2000-04-01
2000,5,0.2,2000-05-01
2000,6,1.41,2000-06-01
2000,7,-0.27,2000-07-01
2000,8,-0.21,2000-08-01
2000,9,-0.14,2000-09-01
2000,10,1.22,2000-10-01
2000,11,0.64,2000-11-01
2000,12,1.63,2000-12-01
2001,1,1.53,2001-01-01
2001,2,-0.39,2001-02-01
2001,3,1.23,2001-03-01
2001,4,0.65,2001-04-01
2001,5,0.33,2001-05-01
2001,6,-0.14,2001-06-01
2001,7,0.67,2001-07-01
2001,8,1.83,2001-08-01
2001,9,-0.98,2001-09-01
2001,10,1.16,2001-10-01
2001,11,-0.62,2001-11-01
2001,12,-0.89,2001-12-01
2002,1,1.68,2002-01-01
2002,2,1.43,2002-02-01
2002,3,0.63,2002-03-01
2002,4,-0.19,2002-04-01
2002,5,0.15,2002-05-01
2002,6,1.65,2002-06-01
2002,7,0.67,2002-07-01
2002,8,-0.39,2002-08-01
2002,9,-1.87,2002-09-01
2002,10,0.7,2002-10-01
2002,11,0.67,2002-11-01
2002,12,0.62,2002-12-01
2003,1,1.11,2003-01-01
2003,2,-0.09,2003-02-01
2003,3,0.96,2003-03-01
2003,4,-0.54,2003-04-01
2003,5,1.73,2003-05-01
2003,6,1.31,2003-06-01
2003,7,1.26,2003-07-01
2003,8,-0.16,2003-08-01
2003,9,0.75,2003-09-01
2003,10,-1.89,2003-10-01
2003,11,0.98,2003-11-01
2003,12,-0.49,2003-12-01
2004,1,-0.45,2004-01-01
2004,2,0.32,2004-02-01
2004,3,1.21,2004-03-01
2004,4,-0.34,2004-04-01
2004,5,-1.18,2004-05-01
2004,6,0.67,2004-06-01
2004,7,-0.23,2004-07-01
2004,8,0.05,2004-08-01
2004,9,0.09,2004-09-01
2004,10,-0.6,2004-10-01
2004,11,-1.45,2004-11-01
2004,12,-1.19,2004-12-01
2005,1,-1.77,2005-01-01
2005,2,-1.96,2005-02-01
2005,3,0.95,2005-03-01
2005,4,1.54,2005-04-01
2005,5,1.03,2005-05-01
2005,6,-1.6,2005-06-01
2005,7,0.92,2005-07-01
2005,8,0.56,2005-08-01
2005,9,1.44,2005-09-01
2005,10,0.57,2005-10-01
2005,11,-0.36,2005-11-01
2005,12,-1.22,2005-12-01
2006,1,-1.03,2006-01-01
2006,2,-0.59,2006-02-01
2006,3,-0.68,2006-03-01
2006,4,1.07,2006-04-01
2006,5,1.15,2006-05-01
2006,6,0.02,2006-06-01
2006,7,0.83,2006-07-01
2006,8,-0.52,2006-08-01
2006,9,1.82,2006-09-01
2006,10,0.66,2006-10-01
2006,11,1.68,2006-11-01
2006,12,1.0,2006-12-01
2007,1,1.51,2007-01-01
2007,2,1.68,2007-02-01
2007,3,0.21,2007-03-01
